sound.files,selec,log(duration),log(meanfreq),log(sd),log(freq.median),log(freq.Q25),log(freq.Q75),sqrt(time.median),cubroot(time.Q25),log(time.Q75),log(skew),(sp.ent)^2,(time.ent)^2,sqrt(sfm),log(meandom),log10(mindom),log(maxdom),log(modindx),log(startdom),log(enddom),dfslope2,log(meanpeakf)
AK 23 june 2017B11 101.wav,10,-1.249769846,-2.376986709,0.178503442,-2.276160569,-1.481068958,-2.931046378,-0.982506325,-2.108215571,-0.798736873,1.401787738,-2.861594105,-2.193541988,-1.387776832,-1.826532003,-0.774836199,-2.333960084,-0.983289693,-1.516987657,-1.279427438,0.116974951,-1.715346082
DSCN2204.wav,1,-0.936110809,-2.373182255,-0.335360929,-2.425163633,-1.774389605,-2.969185653,-1.255225646,-2.108215571,-1.302304295,0.517152016,-2.210887693,-1.343454149,-2.013076777,-1.126306898,-1.249510343,0.381149753,-0.723692603,-1.516987657,0.926864458,3.14610102,-1.767488204
hzb_200419_gbtbeast_FarBankWail.wav,2,-1.263363805,-2.349995971,-0.763762781,-2.095284048,-1.470795831,-2.40810403,-0.99073332,-2.108215571,-0.813059794,-0.517400966,-1.514177397,-2.127940933,-1.38240398,-1.509056653,-1.004797807,-1.548545412,-0.983289693,-0.844764447,-1.517355356,-1.002374398,-1.612887965
CN 26 Dec B1.wav,1,-0.649467572,-2.298557133,0.14406358,-2.376535536,-2.032133658,-1.948175854,-0.589101434,0.043919447,-0.758002607,-0.594734073,-0.078705348,-0.362045186,-0.915803555,-2.236520974,-1.510996709,-2.448971275,-0.433864735,-1.716246506,-2.041089957,-0.332562136,-1.927745925
AK 27 june 2017 B11 5.wav,33,1.467620499,-2.29827562,0.697399205,-2.348888777,-1.901902215,-2.641814826,1.256201396,1.153006807,1.347930388,0.4248074,-0.307793499,0.911513451,-0.326044328,-1.970033193,-1.149734516,-2.057806461,1.970821603,-1.615423801,-1.05502565,0.213695586,-1.715346082
IL 25 jun B10 7.wav,67,-0.769070453,-2.290799574,0.424833513,-2.264567298,-1.794406447,-2.786728413,-0.070666148,0.000416693,-0.29225455,0.165792233,-1.090486586,-0.610555989,-0.415025466,-1.861371462,-1.249510343,-2.11179586,-0.983289693,-1.326841033,-1.770545203,-0.491309685,-1.512772007
YN_20Jun2019_GardensByTheBay_13.wav,8,-0.34918836,-2.28033424,-0.259550074,-2.03873419,-1.836504301,-2.09952014,-0.083875854,-0.005250249,-0.308861531,2.486561543,-0.772189699,0.170076892,-0.574316049,-1.600335678,-0.600350586,-2.11179586,-0.983289693,-1.326841033,-1.09889731,0.116974951,-1.512772007
YN 30 Oct 18 BS 8.wav,1,-0.282030175,-2.278232357,-0.913188546,-2.077512329,-1.31481858,-2.751103386,-0.027219569,0.019001757,-0.238102453,1.587096475,-2.154157941,0.156369779,-1.324160167,-1.702726935,-0.774836199,-2.11179586,0.436328217,-1.420827698,-1.279427438,0.049262984,-1.562543927
ML 19 dec 18 BS 5.wav,2,-0.698108846,-2.275085632,-1.16014567,-2.066289489,-1.23592829,-2.663873014,-0.623281967,0.026118012,-0.80925872,1.540791718,-2.789066694,-0.428264672,-1.687118337,-1.644755126,-0.686596245,-2.11179586,-0.983289693,-1.326841033,-1.188130683,0.033178966,-1.512772007
XF_09032019_gbtb24.wav,3,0.381509451,-2.269811008,0.025943728,-2.118187641,-1.537446741,-2.693031154,0.039512036,0.359337412,0.085989756,0.796901807,-1.23181686,1.07784225,-1.46347006,-1.867201967,-1.351965032,-1.899346898,-0.983289693,-1.14500954,-1.876549119,-0.365038679,-1.414893514
ZY 14 June Bten23.wav,55,-1.205647757,-2.26382894,-0.068795873,-2.31026314,-1.728311501,-2.619984878,-0.955605498,-2.108215571,-0.752248731,0.763005451,-0.947254901,-2.03546613,-0.793370696,-1.788107089,-0.774836199,-2.221608352,-0.983289693,-1.420827698,-1.279427438,0.008300724,-1.663817425
MT 12 June 2017 M11 3.wav,7,-0.074976592,-2.249739837,-0.201986829,-2.259441509,-1.550141653,-2.90663946,-0.151529087,0.504635721,0.064028554,2.006867476,-1.850360392,0.499411634,-0.971722139,-1.785373839,-0.774836199,-2.221608352,0.436328217,-1.516987657,-1.279427438,0.116974951,-1.663817425
sl_11Feb2019_nearkallangairport_ThreeOttersRollingThenDigging.wav,3,0.466701508,-2.24822159,-0.531226734,-2.162886746,-1.499888079,-2.458497385,0.523136216,0.757812858,0.492839157,0.423763839,-0.777382797,0.97599372,-0.95334206,-1.757580604,-0.865164865,-1.95159467,0.652114531,-1.615423801,-1.279427438,0.163118195,-1.663817425
YN_20Jun2019_GardensByTheBay_19.wav,3,-0.538430247,-2.244688597,-0.789705757,-1.726556854,-0.996439744,-2.414208359,-0.50947011,-2.108215571,-0.64101009,1.705312198,-2.735639199,-0.356786908,-1.723089738,-1.394624483,-0.600350586,-1.796507167,-0.667577428,-1.326841033,-0.884257037,0.310012726,-1.225463896
JC_22Feb19_Marina_36.wav,2,-0.560697603,-2.244221777,-0.878907943,-1.760597322,-1.083404907,-2.339874323,-0.525621653,0.076786369,-0.664472152,0.643738762,-2.522130394,-0.382194608,-1.901561357,-1.426541902,-0.686596245,-1.745892168,-0.078382761,-1.420827698,-1.011636107,0.273176639,-1.272058758
SP 24 Jan 18 B3.wav,4,2.225709274,-2.227623405,0.998945409,-2.748308673,-2.339224319,-2.835066095,1.953319378,1.495865695,1.989160978,0.020451778,-0.12272417,0.311296232,-0.191087611,-2.319633345,-1.791726765,-2.333960084,2.353518297,-1.819574379,-1.66731295,0.098233109,-1.715346082
ZY 20 June BEleven20.wav,6,-0.109771341,-2.227196714,-0.66874479,-1.897055804,-1.319126193,-2.549492738,0.310465736,0.489158445,0.027365626,1.296232569,-1.806138422,0.352237808,-1.507698739,-1.483283305,-0.643229779,-1.899346898,0.436328217,-1.234931593,-1.011636107,0.116974951,-1.366762494
YN_14June19_Opp_Kallang_Riverside_Park_20.wav,4,-1.205648243,-2.225349229,0.29625809,-2.423164927,-2.100950415,-1.71159983,-0.955605498,0.357662147,-0.752248731,-0.814057842,-0.016752975,-2.179909842,-0.211560113,-2.291302944,-1.620823223,-2.391125402,-0.983289693,-1.565914491,-2.154721072,-0.752419085,-2.634764455
hzb_31jan_15.wav,4,1.841315803,-2.224796347,-0.048526149,-2.061194724,-1.8607944,-2.094873716,1.748879112,0.899222926,1.898768892,-0.983855473,0.364427431,0.647445327,-0.457859879,-2.231951355,-1.850438815,-2.057806461,1.836157803,-2.689131322,-1.46860895,0.310947614,-2.037937707
DSCN1440.wav,1,-1.237851982,-2.208732616,-0.713408567,-1.981327649,-1.461769032,-2.511157377,0.008250092,0.344140257,-0.786181307,0.162686673,-1.542544941,-2.496425428,-1.18861727,-1.455086851,-0.600350586,-1.847654965,-0.983289693,-1.100767283,-1.09889731,-0.159229382,-1.366762494
YN_20Jun2019_GardensByTheBay_19.wav,2,-0.452874808,-2.202731658,-1.163283273,-1.73819984,-1.001652845,-2.394027858,-0.753043535,-0.042152017,-0.41810918,1.376000224,-3.013448709,0.049947877,-2.102661885,-1.446148849,-0.686596245,-1.796507167,-0.15286645,-1.420827698,-1.011636107,0.26478374,-1.225463896
